layer,head,baseline_overall_mse,masked_overall_mse,overall_importance,baseline_trend_mse,masked_trend_mse,trend_importance,baseline_seasonal_mse,masked_seasonal_mse,seasonal_importance,baseline_residual_mse,masked_residual_mse,residual_importance
1,3,0.6780664091023552,0.6764457953762751,-0.0016206137260800224,0.6769503823602825,0.6676363070908281,-0.00931407526945438,0.7066892384717317,0.6521079534639235,-0.05458128500780823,0.6614194310848759,0.7486076277984218,0.08718819671354594
1,6,0.6780664091023552,0.6913463685815382,0.013279959479183034,0.6769503823602825,0.6879436833803186,0.01099330102003615,0.7066892384717317,0.6835384589862333,-0.023150779485498374,0.6614194310848759,0.7179236382785614,0.05650420719368554
2,7,0.6780664091023552,0.6793157048135514,0.0012492957111962522,0.6769503823602825,0.6679007907266246,-0.009049591633657927,0.7066892384717317,0.7161626718070817,0.009473433335350001,0.6614194310848759,0.7171990259817715,0.05577959489689566
2,1,0.6780664091023552,0.6856713728748489,0.007604963772493756,0.6769503823602825,0.6739557624533563,-0.002994619906926177,0.7066892384717317,0.7434195067274244,0.0367302682556927,0.6614194310848759,0.7083417281798997,0.046922297095023824
1,1,0.6780664091023552,0.6722439634762504,-0.0058224456261047886,0.6769503823602825,0.6776476198774191,0.000697237517136573,0.7066892384717317,0.5940952632729322,-0.11259397519879955,0.6614194310848759,0.703686909713785,0.042267478628909116
2,3,0.6780664091023552,0.6799031551907264,0.001836746088371255,0.6769503823602825,0.669551268345637,-0.007399114014645436,0.7066892384717317,0.7289008678587741,0.022211629387042353,0.6614194310848759,0.7015844767181654,0.04016504563328949
0,5,0.6780664091023552,0.6665307598974375,-0.011535649204917675,0.6769503823602825,0.6630467051935174,-0.013903677166765105,0.7066892384717317,0.6495560516590533,-0.05713318681267843,0.6614194310848759,0.7010477168438827,0.03962828575900679
1,0,0.6780664091023552,0.6903079948530163,0.012241585750661144,0.6769503823602825,0.6854777382625635,0.008527355902281042,0.7066892384717317,0.7130782273534226,0.006388988881690927,0.6614194310848759,0.700499804529639,0.03908037344476312
0,7,0.6780664091023552,0.6845791089497306,0.006512699847375458,0.6769503823602825,0.6826648265542331,0.0057144441939506185,0.7066892384717317,0.6836618663717623,-0.023027372099969412,0.6614194310848759,0.6967042160939041,0.03528478500902821
0,6,0.6780664091023552,0.6733239311932233,-0.004742477909131848,0.6769503823602825,0.6663858780101458,-0.010564504350136672,0.7066892384717317,0.6976502559926003,-0.009038982479131374,0.6614194310848759,0.6947794149014943,0.03335998381661842
0,2,0.6780664091023552,0.6777730541527807,-0.00029335494957449804,0.6769503823602825,0.673977844102872,-0.0029725382574105064,0.7066892384717317,0.6853400887028404,-0.02134914976889135,0.6614194310848759,0.6941780796622168,0.0327586485773409
2,5,0.6780664091023552,0.6757305640907861,-0.0023358450115690266,0.6769503823602825,0.674284193388971,-0.002666188971311434,0.7066892384717317,0.6740602906793356,-0.03262894779239611,0.6614194310848759,0.6856867616223093,0.024267330537433462
